tp,fp_episodes,fn,event_precision,event_recall,event_f1,false_alarms_per_hour,median_latency_s,p90_latency_s,detected_falls,frame_precision,frame_recall,frame_f1,method
26.0,8.0,4.0,0.7647058823529411,0.8666666666666667,0.8125,88.81679377542304,0.7340000000000001,1.1349999999999998,26.0,0.60625,0.10777777777777778,0.1830188679245283,temporal_logistic
28.0,11.0,2.0,0.717948717948718,0.9333333333333333,0.8115942028985509,122.12309144120667,0.7669999999999999,1.0066999999999997,28.0,0.48056537102473496,0.1511111111111111,0.22992392223161454,mean_fusion
27.0,13.0,3.0,0.675,0.9,0.7714285714285714,144.32728988506244,0.8009999999999999,0.9888,27.0,0.46405228758169936,0.15777777777777777,0.23548922056384744,product_agreement
23.0,8.0,7.0,0.7419354838709677,0.7666666666666667,0.7540983606557377,88.81679377542304,0.835,1.1680000000000001,23.0,0.8088235294117647,0.12222222222222222,0.21235521235521235,wearable
28.0,17.0,2.0,0.6222222222222222,0.9333333333333333,0.7466666666666667,188.73568677277393,0.6845000000000001,0.9412,28.0,0.4788732394366197,0.1511111111111111,0.22972972972972974,and_persist
27.0,16.0,3.0,0.627906976744186,0.9,0.7397260273972602,177.63358755084607,0.701,0.9146000000000001,27.0,0.6559139784946236,0.13555555555555557,0.22467771639042358,temporal_hgb
24.0,11.0,6.0,0.6857142857142857,0.8,0.7384615384615385,122.12309144120667,0.8845000000000001,1.1911,24.0,0.5684931506849316,0.09222222222222222,0.1586998087954111,calibrated_logistic
25.0,15.0,5.0,0.625,0.8333333333333334,0.7142857142857143,166.5314883289182,0.8,1.1680000000000001,25.0,0.5259515570934256,0.1688888888888889,0.255677039529016,max_or
25.0,15.0,5.0,0.625,0.8333333333333334,0.7142857142857143,166.5314883289182,0.8,1.1680000000000001,25.0,0.5259515570934256,0.1688888888888889,0.255677039529016,or_persist
24.0,14.0,6.0,0.631578947368421,0.8,0.7058823529411765,155.4293891069903,0.8175,1.1713,24.0,0.48484848484848486,0.08888888888888889,0.15023474178403756,temporal_rf
28.0,34.0,2.0,0.45161290322580644,0.9333333333333333,0.608695652173913,377.47137354554786,0.501,0.931,28.0,0.25371120107962214,0.2088888888888889,0.2291285801340646,camera
