severity,method,metric,mean_delta,wins,losses,wilcoxon_p
0.0,Accelerometer Only,f1,-0.10136591595423783,0,10,0.001953125
0.0,Accelerometer Only,false_alert_rate,0.10766720170300972,10,0,0.001953125
0.0,Calibrated Logistic Fusion,f1,0.008738266089971358,10,0,0.001953125
0.0,Calibrated Logistic Fusion,false_alert_rate,0.0013267427633498093,5,5,0.6953125
0.0,Max OR Fusion,f1,0.004831241897047556,4,6,0.6953125
0.0,Max OR Fusion,false_alert_rate,0.022030857601610165,8,2,0.193359375
0.0,Mean Late Fusion,f1,-0.009190836799257173,2,8,0.16015625
0.0,Mean Late Fusion,false_alert_rate,0.06919691644075943,9,1,0.013671875
0.0,Min Agreement Fusion,f1,-0.051762733971227014,0,10,0.001953125
0.0,Min Agreement Fusion,false_alert_rate,0.059698694682147134,9,0,0.007685794055213263
0.0,Naive Independence,f1,0.004309677990713068,7,3,0.625
0.0,Naive Independence,false_alert_rate,0.03344082256256421,9,1,0.037109375
0.0,Product Agreement Fusion,f1,-0.024872512599277828,3,7,0.02734375
0.0,Product Agreement Fusion,false_alert_rate,0.04134750066413915,9,1,0.048828125
0.0,Rule AND Tuned,f1,-0.07457206279274049,1,9,0.00390625
0.0,Rule AND Tuned,false_alert_rate,-0.02407300318473232,2,7,0.08583095844428565
0.0,Rule OR Tuned,f1,0.004831241897047556,4,6,0.6953125
0.0,Rule OR Tuned,false_alert_rate,0.022030857601610165,8,2,0.193359375
0.0,Temporal Extra Trees,f1,0.00789568664943302,8,2,0.083984375
0.0,Temporal Extra Trees,false_alert_rate,0.01603339923771621,8,2,0.083984375
0.0,Temporal HistGradientBoosting,f1,0.005431964932804345,8,2,0.130859375
0.0,Temporal HistGradientBoosting,false_alert_rate,0.02961018025153207,8,2,0.013671875
0.0,Temporal Logistic Fusion,f1,0.020806209452819857,10,0,0.001953125
0.0,Temporal Logistic Fusion,false_alert_rate,-0.002144082318246146,7,3,0.16015625
0.0,Temporal Random Forest,f1,0.00964850756968173,8,2,0.02734375
0.0,Temporal Random Forest,false_alert_rate,0.019259495070270603,8,2,0.064453125
0.2,Accelerometer Only,f1,-0.10942386537894548,0,10,0.001953125
0.2,Accelerometer Only,false_alert_rate,0.08851910919252001,9,1,0.00390625
0.2,Calibrated Logistic Fusion,f1,0.004311222784213675,8,2,0.10546875
0.2,Calibrated Logistic Fusion,false_alert_rate,0.005961080100415396,6,4,0.322265625
0.2,Max OR Fusion,f1,-0.002352488943875375,3,7,0.431640625
0.2,Max OR Fusion,false_alert_rate,0.028163096302695534,8,2,0.083984375
0.2,Mean Late Fusion,f1,-0.020217234982728906,1,9,0.01953125
0.2,Mean Late Fusion,false_alert_rate,0.08454914717046635,9,1,0.00390625
0.2,Min Agreement Fusion,f1,-0.05940529642408519,0,10,0.001953125
0.2,Min Agreement Fusion,false_alert_rate,0.060543040484355694,10,0,0.001953125
0.2,Naive Independence,f1,-0.0019596662333281945,5,5,1.0
0.2,Naive Independence,false_alert_rate,0.03892320121612893,9,1,0.013671875
0.2,Product Agreement Fusion,f1,-0.03191841914385853,1,9,0.00390625
0.2,Product Agreement Fusion,false_alert_rate,0.03930184212248157,8,2,0.009765625
0.2,Rule AND Tuned,f1,-0.08259463452278339,0,10,0.001953125
0.2,Rule AND Tuned,false_alert_rate,-0.020928601428348865,4,6,0.193359375
0.2,Rule OR Tuned,f1,-0.002352488943875375,3,7,0.431640625
0.2,Rule OR Tuned,false_alert_rate,0.028163096302695534,8,2,0.083984375
0.2,Temporal Extra Trees,f1,-0.0004482036668047362,4,6,0.845703125
0.2,Temporal Extra Trees,false_alert_rate,0.015420280483944688,8,2,0.013671875
0.2,Temporal HistGradientBoosting,f1,-0.0005645010347822387,6,4,0.921875
0.2,Temporal HistGradientBoosting,false_alert_rate,0.028638517253831382,9,1,0.00390625
0.2,Temporal Logistic Fusion,f1,0.019698706385838826,8,2,0.009765625
0.2,Temporal Logistic Fusion,false_alert_rate,-0.01035162495552663,2,8,0.16015625
0.2,Temporal Random Forest,f1,-0.0018129900400942645,5,5,0.625
0.2,Temporal Random Forest,false_alert_rate,0.019149711734220774,9,1,0.00390625
0.4,Accelerometer Only,f1,-0.11061241831338484,0,10,0.001953125
0.4,Accelerometer Only,false_alert_rate,0.08655646188904072,9,1,0.00390625
0.4,Calibrated Logistic Fusion,f1,0.009397930705439761,10,0,0.001953125
0.4,Calibrated Logistic Fusion,false_alert_rate,0.006018089557075242,5,5,0.322265625
0.4,Max OR Fusion,f1,-0.001536620179670134,3,7,0.4921875
0.4,Max OR Fusion,false_alert_rate,0.02886745461955369,8,2,0.048828125
0.4,Mean Late Fusion,f1,-0.023321829904033597,1,9,0.00390625
0.4,Mean Late Fusion,false_alert_rate,0.09069751672798348,10,0,0.001953125
0.4,Min Agreement Fusion,f1,-0.06101325604164537,0,10,0.001953125
0.4,Min Agreement Fusion,false_alert_rate,0.05765796781263499,10,0,0.001953125
0.4,Naive Independence,f1,-0.0038264582757801535,4,6,0.556640625
0.4,Naive Independence,false_alert_rate,0.039212153946205405,10,0,0.001953125
0.4,Product Agreement Fusion,f1,-0.0350945979139443,0,10,0.001953125
0.4,Product Agreement Fusion,false_alert_rate,0.04194623506207865,10,0,0.001953125
0.4,Rule AND Tuned,f1,-0.08311315629468528,0,10,0.001953125
0.4,Rule AND Tuned,false_alert_rate,-0.021304241600564797,3,7,0.064453125
0.4,Rule OR Tuned,f1,-0.001536620179670134,3,7,0.4921875
0.4,Rule OR Tuned,false_alert_rate,0.02886745461955369,8,2,0.048828125
0.4,Temporal Extra Trees,f1,-0.0018587831389569875,6,4,0.6953125
0.4,Temporal Extra Trees,false_alert_rate,0.011707213665544568,8,2,0.064453125
0.4,Temporal HistGradientBoosting,f1,0.0028935019111391625,6,4,0.625
0.4,Temporal HistGradientBoosting,false_alert_rate,0.023596684995750926,9,1,0.00390625
0.4,Temporal Logistic Fusion,f1,0.029201607844502507,10,0,0.001953125
0.4,Temporal Logistic Fusion,false_alert_rate,-0.013488226376301543,3,7,0.064453125
0.4,Temporal Random Forest,f1,0.0003568682468609974,6,4,1.0
0.4,Temporal Random Forest,false_alert_rate,0.014742377389577871,7,3,0.048828125
0.6,Accelerometer Only,f1,-0.11867206211851303,0,10,0.001953125
0.6,Accelerometer Only,false_alert_rate,0.09654044596080777,10,0,0.001953125
0.6,Calibrated Logistic Fusion,f1,0.003385054192342196,7,3,0.275390625
0.6,Calibrated Logistic Fusion,false_alert_rate,0.006367412346323431,9,1,0.064453125
0.6,Max OR Fusion,f1,-0.007117789103286631,2,8,0.275390625
0.6,Max OR Fusion,false_alert_rate,0.03880983140578672,9,1,0.005859375
0.6,Mean Late Fusion,f1,-0.026939860443848218,0,10,0.001953125
0.6,Mean Late Fusion,false_alert_rate,0.0978540904152774,10,0,0.001953125
0.6,Min Agreement Fusion,f1,-0.06619912387647495,0,10,0.001953125
0.6,Min Agreement Fusion,false_alert_rate,0.055665250789189144,10,0,0.001953125
0.6,Naive Independence,f1,-0.008452566005627316,2,8,0.10546875
0.6,Naive Independence,false_alert_rate,0.04599622452057223,10,0,0.001953125
0.6,Product Agreement Fusion,f1,-0.04233648333416792,0,10,0.001953125
0.6,Product Agreement Fusion,false_alert_rate,0.05968745529462264,10,0,0.001953125
0.6,Rule AND Tuned,f1,-0.08453241852852601,0,10,0.001953125
0.6,Rule AND Tuned,false_alert_rate,-0.020437203199066493,3,7,0.02734375
0.6,Rule OR Tuned,f1,-0.007117789103286631,2,8,0.275390625
0.6,Rule OR Tuned,false_alert_rate,0.03880983140578672,9,1,0.005859375
0.6,Temporal Extra Trees,f1,0.0012837029050593695,6,4,0.845703125
0.6,Temporal Extra Trees,false_alert_rate,0.003960164645438596,5,5,0.6953125
0.6,Temporal HistGradientBoosting,f1,0.0035785138906654244,7,3,0.322265625
0.6,Temporal HistGradientBoosting,false_alert_rate,0.018137208291177397,7,3,0.048828125
0.6,Temporal Logistic Fusion,f1,0.028694169976818708,10,0,0.001953125
0.6,Temporal Logistic Fusion,false_alert_rate,-0.009224970182152853,2,8,0.083984375
0.6,Temporal Random Forest,f1,0.00155458260115634,6,4,0.625
0.6,Temporal Random Forest,false_alert_rate,0.009433067168270828,5,4,0.21352435403618242
0.8,Accelerometer Only,f1,-0.1218768973135862,0,10,0.001953125
0.8,Accelerometer Only,false_alert_rate,0.09984719145088092,10,0,0.001953125
0.8,Calibrated Logistic Fusion,f1,0.003351637600321711,6,4,0.130859375
0.8,Calibrated Logistic Fusion,false_alert_rate,0.008556785521065353,9,1,0.013671875
0.8,Max OR Fusion,f1,-0.009917140287231363,2,8,0.193359375
0.8,Max OR Fusion,false_alert_rate,0.038143464806313795,9,1,0.005859375
0.8,Mean Late Fusion,f1,-0.027823385794414502,0,10,0.001953125
0.8,Mean Late Fusion,false_alert_rate,0.09290445717411111,10,0,0.001953125
0.8,Min Agreement Fusion,f1,-0.0687043973504386,0,10,0.001953125
0.8,Min Agreement Fusion,false_alert_rate,0.05349948300797547,10,0,0.001953125
0.8,Naive Independence,f1,-0.011558093468490871,2,8,0.01953125
0.8,Naive Independence,false_alert_rate,0.05067997198173183,10,0,0.001953125
0.8,Product Agreement Fusion,f1,-0.04586182001171403,0,10,0.001953125
0.8,Product Agreement Fusion,false_alert_rate,0.05955857180782106,10,0,0.001953125
0.8,Rule AND Tuned,f1,-0.0859604864066844,0,10,0.001953125
0.8,Rule AND Tuned,false_alert_rate,-0.021635225169318692,2,8,0.01953125
0.8,Rule OR Tuned,f1,-0.009917140287231363,2,8,0.193359375
0.8,Rule OR Tuned,false_alert_rate,0.038143464806313795,9,1,0.005859375
0.8,Temporal Extra Trees,f1,0.006901531671865957,6,4,0.232421875
0.8,Temporal Extra Trees,false_alert_rate,-0.0017462821211356983,4,6,0.921875
0.8,Temporal HistGradientBoosting,f1,0.011047943406110849,8,2,0.013671875
0.8,Temporal HistGradientBoosting,false_alert_rate,0.006605144575816263,6,4,0.375
0.8,Temporal Logistic Fusion,f1,0.027047488293773812,10,0,0.001953125
0.8,Temporal Logistic Fusion,false_alert_rate,-0.012456628933671268,2,8,0.009765625
0.8,Temporal Random Forest,f1,0.007825336353666824,7,3,0.193359375
0.8,Temporal Random Forest,false_alert_rate,0.004452803958862378,6,4,0.625
1.0,Accelerometer Only,f1,-0.1322799082822593,0,10,0.001953125
1.0,Accelerometer Only,false_alert_rate,0.1125369657451887,10,0,0.001953125
1.0,Calibrated Logistic Fusion,f1,-0.0032621170188925964,3,7,0.375
1.0,Calibrated Logistic Fusion,false_alert_rate,0.007858908216002946,7,3,0.10546875
1.0,Max OR Fusion,f1,-0.016312116860402504,2,8,0.064453125
1.0,Max OR Fusion,false_alert_rate,0.0391571212862825,9,1,0.005859375
1.0,Mean Late Fusion,f1,-0.035298018359998865,0,10,0.001953125
1.0,Mean Late Fusion,false_alert_rate,0.09519060736120989,10,0,0.001953125
1.0,Min Agreement Fusion,f1,-0.07485557808526022,0,10,0.001953125
1.0,Min Agreement Fusion,false_alert_rate,0.05947440864070734,9,1,0.00390625
1.0,Naive Independence,f1,-0.01791479517002136,1,9,0.009765625
1.0,Naive Independence,false_alert_rate,0.05224141617550208,10,0,0.001953125
1.0,Product Agreement Fusion,f1,-0.05373975420562501,0,10,0.001953125
1.0,Product Agreement Fusion,false_alert_rate,0.06673339421301511,10,0,0.001953125
1.0,Rule AND Tuned,f1,-0.09326129014587395,0,10,0.001953125
1.0,Rule AND Tuned,false_alert_rate,-0.017633667077399703,4,6,0.16015625
1.0,Rule OR Tuned,f1,-0.016312116860402504,2,8,0.064453125
1.0,Rule OR Tuned,false_alert_rate,0.0391571212862825,9,1,0.005859375
1.0,Temporal Extra Trees,f1,0.00851731045736911,8,2,0.130859375
1.0,Temporal Extra Trees,false_alert_rate,-0.005865052478752947,4,6,0.431640625
1.0,Temporal HistGradientBoosting,f1,0.013499688444318947,8,2,0.01953125
1.0,Temporal HistGradientBoosting,false_alert_rate,0.0018820131268950005,6,4,0.921875
1.0,Temporal Logistic Fusion,f1,0.019653646369481213,10,0,0.001953125
1.0,Temporal Logistic Fusion,false_alert_rate,-0.003661935152641934,5,5,0.556640625
1.0,Temporal Random Forest,f1,0.010670226654961267,9,1,0.037109375
1.0,Temporal Random Forest,false_alert_rate,-0.0010023827300679577,4,6,0.76953125
