method,event_f1_ci_low,event_f1_ci_high,event_recall_ci_low,event_recall_ci_high,false_alarms_per_hour_ci_low,false_alarms_per_hour_ci_high,median_latency_s_ci_low,median_latency_s_ci_high
camera,0.47724567099567095,0.7234042553191489,0.8275862068965517,1.0,282.0565734738105,487.76581421635944,0.401,0.6839999999999999
wearable,0.6086568322981366,0.866698113207547,0.5937210648148148,0.9090909090909091,36.56250241643628,148.45593214906955,0.6844999999999999,0.8845
mean_fusion,0.6896269078575465,0.9041095890410958,0.8275487256371814,1.0,59.5824995295469,196.53271083436556,0.7004999999999999,0.8175
max_or,0.575747198007472,0.8285714285714286,0.6785714285714286,0.9615384615384616,95.43463819550135,246.94086119089337,0.601,0.8680000000000001
product_agreement,0.631578947368421,0.8837590545177276,0.7741935483870968,1.0,69.47225075347144,239.0001429948717,0.6680000000000001,0.8340000000000001
calibrated_logistic,0.5957159286946521,0.8529509803921569,0.6451036866359446,0.9310344827586207,60.031289494508385,199.09436098906363,0.7669999999999999,0.934
temporal_logistic,0.6774193548387097,0.912280701754386,0.7307692307692307,0.96875,33.361272639479466,162.46482944424278,0.6345,0.9339999999999999
temporal_rf,0.5671641791044777,0.821917808219178,0.6538461538461539,0.9310344827586207,86.05414168364955,235.08782450331972,0.667,0.8680000000000001
temporal_hgb,0.6086098398169336,0.8604724757138651,0.7741935483870968,1.0,90.33574747688263,283.5595665712098,0.601,0.768
and_persist,0.6172364672364673,0.8529509803921569,0.8333333333333334,1.0,105.48459104962207,285.29444498258545,0.6005000000000001,0.8174999999999999
or_persist,0.575747198007472,0.8285714285714286,0.6785714285714286,0.9615384615384616,95.43463819550135,246.94086119089337,0.601,0.8680000000000001
